class,n_queries,P@1,R@1,NDCG@1,P@5,R@5,NDCG@5,P@10,R@10,NDCG@10,P@20,R@20,NDCG@20,mAP
HGG | high,33,1.0,0.0001,0.9917,1.0,0.0007,0.9913,0.9909,0.0013,0.9879,0.9909,0.0026,0.9963,0.9956
HGG | low,33,0.9091,0.0001,0.9591,0.9515,0.0008,0.9707,0.9333,0.0015,0.9647,0.9152,0.003,0.9874,0.9419
HGG | medium,33,1.0,0.0001,0.9765,0.9818,0.0005,0.975,0.9788,0.001,0.9732,0.9742,0.0019,0.9908,0.9815
LGG | high,33,1.0,0.0003,1.0,0.8485,0.0012,0.964,0.7848,0.0023,0.9547,0.7333,0.0042,0.9858,0.8697
LGG | low,33,0.9697,0.0003,0.9848,0.9333,0.0015,0.973,0.8788,0.0029,0.9696,0.7985,0.0052,0.9894,0.9378
LGG | medium,33,0.9394,0.0002,0.9311,0.9515,0.001,0.9501,0.9091,0.0018,0.9429,0.8712,0.0035,0.9778,0.9356
